Gene	g+t+	g+t-	g-t+	g-t-	sensitivity	specificity	odds_ratio	fisher_p	fisher_q	empirical_p	fq*ep	contrasting	supporting	opposing	best	worst	trait	__contingency_table__	__pattern_id__
tet(C)	0	46	2634	7277	100.0	0.6281578588010378	0.0	8.966289522329743e-07	0.0011297524798135	0.9141716566866268	0.0010327876961169	3.0	0.0	3.0	0.25	0.25	era_pre2000		
floR	0	37	2634	7286	100.0	0.5052574081660521	0.0	1.6469091740856615e-05	0.0207510555934793	0.3053892215568862	0.0063371487141763	3.0	0.0	3.0	0.25	0.25	era_pre2000		
dfrA1	0	38	2634	7285	100.0	0.5189130137921617	0.0	1.8148668473802736e-05	0.0228673222769914	0.437125748502994	0.009995895366589	2.0	0.0	2.0	0.5	0.5	era_pre2000		
sat2	0	36	2634	7287	100.0	0.4916018025399427	0.0	2.7742941625715683e-05	0.0349561064484017	0.562874251497006	0.0196758922523938	4.0	0.0	4.0	0.125	0.125	era_pre2000		
blaYRC	162	54	1	9740	99.38650306748468	99.44864202573004	29220.0	5.277905784691199e-305	6.650161288710911e-302	0.0019960079840319	1.3273775027367086e-304	2.0	2.0	1.0	0.5	1.0	host_fish		
blaA	0	5419	163	4375	100.0	55.32979375127629	0.0	4.721622854623157e-57	5.949244796825177e-54	0.0479041916167664	2.849937627221642e-55	3.0	0.0	3.0	0.25	0.25	host_fish		
vat(F)	0	5286	163	4508	100.0	53.97181948131509	0.0	5.6994772808699256e-55	7.181341373896106e-52	0.0019960079840319	1.43340147183555e-54	3.0	0.0	3.0	0.25	0.25	host_fish		
vat(F)	2417	2869	329	4342	88.0189366351056	60.21356261267508	11.118341860004389	0.0	0.0	0.499001996007984	0.0	7.0	6.0	3.0	0.125	1.0	host_human		
blaA	2428	2991	318	4220	88.41951930080117	58.52170295382055	10.772527225281715	0.0	0.0	0.405189620758483	0.0	7.0	7.0	3.0	0.015625	1.0	host_human		
blaYRC	3	213	2743	6998	99.89075018208304	2.953820551934544	0.0359326942332082	3.4245275510443936e-26	4.3149047143159363e-23	0.7125748502994012	3.0746925808598584e-23	3.0	1.0	3.0	0.25	1.0	host_human		
qacK	27	3	2719	7208	0.9832483612527312	99.95839689363471	23.85877160720853	1.1596845926913112e-12	1.461202586791052e-09	1.0	1.461202586791052e-09	1.0	1.0	1.0	1.0	1.0	host_human		
catA1	47	27	2699	7184	1.711580480699199	99.62557204271252	4.633375873094288	1.4307333045670808e-10	1.8027239637545225e-07	0.0978043912175648	1.7631431980832656e-08	5.0	4.0	2.0	0.375	1.0	host_human		
sul1	57	39	2689	7172	2.0757465404224327	99.45915961725144	3.8981605973052607	7.759397409385131e-11	9.776840735825265e-08	0.4530938123752495	4.4298260419807086e-08	8.0	5.0	5.0	0.7265625	0.7265625	host_human		
qacEdelta1	56	40	2690	7171	2.039329934450109	99.44529191512966	3.732118959107807	2.3859277741596307e-10	3.0062689954411346e-07	0.3293413173652694	9.900885913129485e-08	6.0	3.0	5.0	0.21875	1.0	host_human		
aadA12	44	26	2702	7185	1.602330662782229	99.63943974483428	4.500085406821158	8.173697948271393e-10	1.0298859414821955e-06	0.3073852295409182	3.165717265234693e-07	2.0	2.0	1.0	0.5	1.0	host_human		
blaA	3	5416	107	4431	97.27272727272728	55.00152330659084	0.0229382652990792	5.6403207223751734e-33	7.10680411019272e-30	0.9880239520958084	7.021692683723345e-30	2.0	1.0	1.0	1.0	1.0	host_marmot		
vat(F)	3	5283	107	4564	97.27272727272728	53.65085812937951	0.0242215818327522	1.1954430280215757e-31	1.5062582153071852e-28	0.8782435129740519	1.3228615064574083e-28	2.0	1.0	1.0	1.0	1.0	host_marmot		
vat(F)	146	5140	16	4655	90.12345679012346	47.524247064829	8.26398346303502	1.3127626861969132e-24	1.6540809846081109e-21	0.0199600798403193	3.301558851513195e-23	7.0	6.0	3.0	0.125	1.0	host_pig		
blaA	149	5270	13	4525	91.9753086419753	46.19703930576825	9.841264049043936	4.998145484919292e-26	6.297663310998308e-23	0.7085828343313373	4.462416118571655e-23	6.0	6.0	2.0	0.03125	0.6875	host_pig		
aadA1	18	50	144	9745	11.11111111111111	99.48953547728432	24.3625	1.5500851030979342e-17	1.9531072299033973e-14	0.0558882235528942	1.0915569348761501e-15	6.0	4.0	4.0	0.6875	0.6875	host_pig		
sat2	12	24	150	9771	7.4074074074074066	99.75497702909648	32.57	2.039779826212632e-13	2.570122581027916e-10	0.9441117764471058	2.4264829956610857e-10	4.0	1.0	4.0	0.125	0.625	host_pig		
dfrA1	12	26	150	9769	7.4074074074074066	99.73455844818784	30.05846153846154	4.290174925335994e-13	5.405620405923352e-10	0.8063872255489022	4.3590232415030615e-10	2.0	1.0	2.0	0.5	1.0	host_pig		
aadA12	12	58	150	9737	7.4074074074074066	99.40786115364982	13.430344827586207	1.0762500897192134e-09	1.3560751130462089e-06	0.5389221556886228	7.308189231985557e-07	1.0	1.0	1.0	1.0	1.0	host_pig		
sul1	13	83	149	9712	8.024691358024691	99.152628892292	10.209104875879357	4.338013744514415e-09	5.465897318088163e-06	0.2654690618762475	1.451026633344762e-06	6.0	2.0	5.0	0.21875	0.6875	host_pig		
catA1	12	62	150	9733	7.4074074074074066	99.36702399183255	12.558709677419357	2.098804100018759e-09	2.6444931660236363e-06	0.7465069860279441	1.9741326229398003e-06	3.0	1.0	3.0	0.25	1.0	host_pig		
aph(6)-Id	12	65	150	9730	7.4074074074074066	99.33639612046964	11.975384615384616	3.370018525428193e-09	4.246223342039524e-06	0.9281437125748504	3.941105497102552e-06	2.0	1.0	2.0	0.5	1.0	host_pig		
floR	9	28	153	9767	5.555555555555555	99.71413986727924	20.51890756302521	5.385979963776061e-09	6.786334754357837e-06	0.626746506986028	4.253311602531658e-06	4.0	1.0	4.0	0.125	0.625	host_pig		
qacEdelta1	13	83	149	9712	8.024691358024691	99.152628892292	10.209104875879357	4.338013744514415e-09	5.465897318088163e-06	0.8363273453093812	4.57127939377034e-06	4.0	2.0	4.0	0.125	1.0	host_pig		
sul2	13	86	149	9709	8.024691358024691	99.12200102092903	9.849929764320274	6.374537083021845e-09	8.031916724607524e-06	0.7365269461077845	5.915723096567218e-06	10.0	4.0	7.0	0.34375	0.75390625	host_pig		
tet(A)	13	88	149	9707	8.024691358024691	99.10158244002042	9.62408480780964	8.176776108636205e-09	1.030273789688162e-05	0.8662674650698603	8.924926641210823e-06	9.0	4.0	6.0	0.5078125	1.0	host_pig		
aph(3'')-Ib	11	64	151	9731	6.790123456790123	99.34660541092394	11.076262417218542	3.002968549451735e-08	3.783740372309186e-05	0.3333333333333333	1.2612467907697286e-05	3.0	2.0	3.0	0.25	1.0	host_pig		
vat(F)	3	5283	375	4296	99.20634920634922	55.15189476980896	0.0065053946621237	2.0195064448933434e-121	2.544578120565613e-118	0.0838323353293413	2.133179262749616e-119	3.0	1.0	2.0	1.0	1.0	host_rodent		
blaA	5	5414	373	4165	98.67724867724868	56.51946967324355	0.010312356704047	3.211193738836953e-122	4.0461041109345607e-119	0.7724550898203593	3.125433714434481e-119	2.0	2.0	2.0	0.5	0.5	host_rodent		
vat(F)	518	4768	3406	1265	86.79918450560652	79.03199071771921	0.0403496149708173	0.0	0.0	0.7644710578842315	0.0	7.0	5.0	5.0	0.453125	0.453125	niche_A		
blaA	555	4864	3369	1169	85.85626911314985	80.6232388529753	0.0395924992384121	0.0	0.0	0.6506986027944112	0.0	6.0	5.0	5.0	0.21875	0.21875	niche_A		
blaYRC	193	23	3731	6010	4.918450560652396	99.61876346759487	13.516949646323985	4.4547549482793415e-54	5.612991234831971e-51	0.3473053892215569	1.9494221055105052e-51	3.0	3.0	1.0	0.25	1.0	niche_A		
qacEdelta1	14	82	3910	5951	99.64322120285422	1.3591911155312448	0.2598527852286195	1.4242631799596608e-07	0.0001794571606749	0.3293413173652694	5.910265770730808e-05	4.0	3.0	3.0	0.625	0.625	niche_A		
sul1	14	82	3910	5951	99.64322120285422	1.3591911155312448	0.2598527852286195	1.4242631799596608e-07	0.0001794571606749	0.4710578842315369	8.45347104177255e-05	6.0	3.0	4.0	0.6875	1.0	niche_A		
tet(C)	3	43	3921	5990	99.92354740061162	0.7127465605834576	0.1065817334211135	8.756660964556853e-07	0.0011033392815341	0.9161676646706588	0.0010108437729025	3.0	2.0	2.0	1.0	1.0	niche_A		
catA1	12	62	3912	5971	99.69418960244649	1.0276810873528923	0.2954185632297645	2.0899482237145213e-05	0.0263333476188029	0.1936127744510978	0.0050984724930616	3.0	1.0	3.0	0.25	1.0	niche_A		
qacK	1	29	3923	6004	99.97451580020387	0.480689540858611	0.0527745303998523	1.2552761792778442e-05	0.0158164798589008	1.0	0.0158164798589008	1.0	1.0	1.0	1.0	1.0	niche_A		
blaA	62	5357	29	4509	68.13186813186813	45.70241232515711	1.7995017798175768	0.008175845417929									niche_E	(62, 5357, 29, 4509)	59.0
vat(F)	60	5226	31	4640	65.93406593406593	47.03020474356375	1.7184548720417765	0.0149581620101023									niche_E	(60, 5226, 31, 4640)	58.0
blaYRC	5	211	86	9655	5.494505494505495	97.8613419825664	2.6603659208641024	0.0475877428788196									niche_E	(5, 211, 86, 9655)	57.0
aac(6')	0	23	91	9843	100.0	0.2331238597202513	0.0	0.9999999999700412									niche_E	(0, 23, 91, 9843)	30.0
estX/sat2	0	10	91	9856	100.0	0.1013581998783701	0.0	0.999999999975446									niche_E	(0, 10, 91, 9856)	42.0
cmlA1	0	6	91	9860	100.0	0.0608149199270221	0.0	0.999999999980922									niche_E	(0, 6, 91, 9860)	37.0
qnrB19	0	6	91	9860	100.0	0.0608149199270221	0.0	0.999999999980922									niche_E	(0, 6, 91, 9860)	6.0
aadA2	0	9	91	9857	100.0	0.0912223798905331	0.0	0.999999999982327									niche_E	(0, 9, 91, 9857)	39.0
blaTEM	0	9	91	9857	100.0	0.0912223798905331	0.0	0.999999999982327									niche_E	(0, 9, 91, 9857)	19.0
aac(3)-IVa	0	4	91	9862	100.0	0.040543279951348	0.0	0.99999999998515									niche_E	(0, 4, 91, 9862)	23.0
aadA5	0	4	91	9862	100.0	0.040543279951348	0.0	0.99999999998515									niche_E	(0, 4, 91, 9862)	41.0
aph(4)-Ia	0	4	91	9862	100.0	0.040543279951348	0.0	0.99999999998515									niche_E	(0, 4, 91, 9862)	23.0
blaYEM-1	0	4	91	9862	100.0	0.040543279951348	0.0	0.99999999998515									niche_E	(0, 4, 91, 9862)	18.0
dfrA17	0	4	91	9862	100.0	0.040543279951348	0.0	0.99999999998515									niche_E	(0, 4, 91, 9862)	41.0
qnrD1	0	4	91	9862	100.0	0.040543279951348	0.0	0.99999999998515									niche_E	(0, 4, 91, 9862)	29.0
aph(6)-Id	0	77	91	9789	100.0	0.7804581390634503	0.0	0.999999999986078									niche_E	(0, 77, 91, 9789)	48.0
aac(6')-Il	0	3	91	9863	100.0	0.030407459963511	0.0	0.9999999999883892									niche_E	(0, 3, 91, 9863)	11.0
aadA22	0	3	91	9863	100.0	0.030407459963511	0.0	0.9999999999883892									niche_E	(0, 3, 91, 9863)	32.0
blaCMY-2	0	3	91	9863	100.0	0.030407459963511	0.0	0.9999999999883892									niche_E	(0, 3, 91, 9863)	11.0
catB2	0	3	91	9863	100.0	0.030407459963511	0.0	0.9999999999883892									niche_E	(0, 3, 91, 9863)	17.0
dfrB1	0	3	91	9863	100.0	0.030407459963511	0.0	0.9999999999883892									niche_E	(0, 3, 91, 9863)	28.0
mph(A)	0	3	91	9863	100.0	0.030407459963511	0.0	0.9999999999883892									niche_E	(0, 3, 91, 9863)	11.0
mrx(A)	0	3	91	9863	100.0	0.030407459963511	0.0	0.9999999999883892									niche_E	(0, 3, 91, 9863)	11.0
tet(Y)	0	3	91	9863	100.0	0.030407459963511	0.0	0.9999999999883892									niche_E	(0, 3, 91, 9863)	13.0
dfrA14	0	21	91	9845	100.0	0.2128522197445773	0.0	0.9999999999895706									niche_E	(0, 21, 91, 9845)	34.0
sat2	0	36	91	9830	100.0	0.3648895195621325	0.0	0.999999999989708									niche_E	(0, 36, 91, 9830)	31.0
aph(3'')-Ib	0	75	91	9791	100.0	0.7601864990877761	0.0	0.9999999999900536									niche_E	(0, 75, 91, 9791)	47.0
blaYEM	0	16	91	9850	100.0	0.1621731198053922	0.0	0.9999999999921938									niche_E	(0, 16, 91, 9850)	20.0
qacEdelta1	0	96	91	9770	100.0	0.9730387188323536	0.0	0.9999999999948254									niche_E	(0, 96, 91, 9770)	54.0
sul1	0	96	91	9770	100.0	0.9730387188323536	0.0	0.9999999999948254									niche_E	(0, 96, 91, 9770)	51.0
catA1	0	74	91	9792	100.0	0.7500506790999392	0.0	0.999999999994972									niche_E	(0, 74, 91, 9792)	53.0
sul2	0	99	91	9767	100.0	1.0034461787958646	0.0	0.999999999996243									niche_E	(0, 99, 91, 9767)	49.0
qacK	0	30	91	9836	100.0	0.3040745996351105	0.0	0.9999999999962492									niche_E	(0, 30, 91, 9836)	46.0
aadA1	0	68	91	9798	100.0	0.6892357591729171	0.0	0.9999999999967756									niche_E	(0, 68, 91, 9798)	43.0
aadA13	0	2	91	9864	100.0	0.020271639975674	0.0	1.0									niche_E	(0, 2, 91, 9864)	27.0
aadA25	0	2	91	9864	100.0	0.020271639975674	0.0	1.0									niche_E	(0, 2, 91, 9864)	22.0
aadA31	0	2	91	9864	100.0	0.020271639975674	0.0	1.0									niche_E	(0, 2, 91, 9864)	24.0
dfrA12	0	2	91	9864	100.0	0.020271639975674	0.0	1.0									niche_E	(0, 2, 91, 9864)	9.0
estX	0	2	91	9864	100.0	0.020271639975674	0.0	1.0									niche_E	(0, 2, 91, 9864)	21.0
dfrA1	0	38	91	9828	100.0	0.3851611595378066	0.0	1.0									niche_E	(0, 38, 91, 9828)	33.0
aadA15	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	1.0
blaFONA	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	5.0
blaLAP-2	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	12.0
blaSHV-1	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	14.0
blaTEM-135	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	0.0
catB	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	7.0
lnu(G)	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	2.0
mph(B)	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	3.0
mph(E)	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	4.0
msr(E)	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	4.0
qacG2	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	10.0
qnrD	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	8.0
qnrS1	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	12.0
tet(59)	0	1	91	9865	100.0	0.010135819987837	0.0	1.0									niche_E	(0, 1, 91, 9865)	7.0
aadA12	0	70	91	9796	100.0	0.7095073991485911	0.0	1.0									niche_E	(0, 70, 91, 9796)	52.0
floR	0	37	91	9829	100.0	0.3750253395499696	0.0	1.0									niche_E	(0, 37, 91, 9829)	44.0
blaTEM-116	0	14	91	9852	100.0	0.1419014798297182	0.0	1.0									niche_E	(0, 14, 91, 9852)	40.0
tet(B)	0	14	91	9852	100.0	0.1419014798297182	0.0	1.0									niche_E	(0, 14, 91, 9852)	55.0
aph(3')-Ia	0	5	91	9861	100.0	0.050679099939185	0.0	1.0									niche_E	(0, 5, 91, 9861)	15.0
blaTEM-1	0	5	91	9861	100.0	0.050679099939185	0.0	1.0									niche_E	(0, 5, 91, 9861)	26.0
estX-3	0	5	91	9861	100.0	0.050679099939185	0.0	1.0									niche_E	(0, 5, 91, 9861)	36.0
mef(B)	0	5	91	9861	100.0	0.050679099939185	0.0	1.0									niche_E	(0, 5, 91, 9861)	35.0
qacE	0	5	91	9861	100.0	0.050679099939185	0.0	1.0									niche_E	(0, 5, 91, 9861)	50.0
qacL	0	5	91	9861	100.0	0.050679099939185	0.0	1.0									niche_E	(0, 5, 91, 9861)	36.0
tet(H)	0	5	91	9861	100.0	0.050679099939185	0.0	1.0									niche_E	(0, 5, 91, 9861)	25.0
sul3	0	7	91	9859	100.0	0.0709507399148591	0.0	1.0									niche_E	(0, 7, 91, 9859)	38.0
tet(A)	0	101	91	9765	100.0	1.0237178187715386	0.0	1.0									niche_E	(0, 101, 91, 9765)	45.0
tet(C)	0	46	91	9820	100.0	0.4662477194405027	0.0	1.0									niche_E	(0, 46, 91, 9820)	56.0
tet(D)	0	8	91	9858	100.0	0.0810865599026961	0.0	1.0									niche_E	(0, 8, 91, 9858)	16.0
blaA	696	4723	29	4509	96.0	48.84098786828423	22.912555579081094	3.305204374932456e-151	4.1645575124148954e-148	0.8243512974051896	3.4330583884777485e-148	5.0	5.0	2.0	0.0625	1.0	niche_F		
vat(F)	671	4615	54	4617	92.55172413793105	50.01083188908145	12.431310942578548	3.4683325559326803e-128	4.3700990204751767e-125	0.9441117764471058	4.125861949470576e-125	6.0	4.0	3.0	0.6875	1.0	niche_F		
blaYRC	1	215	724	9017	99.86206896551724	2.3288561525129983	0.0579275343697802	2.0062185958530225e-06	0.0025278354307748	0.9201596806387226	0.0023260122426889	3.0	1.0	3.0	0.25	1.0	niche_F		
vat(F)	3570	1716	385	4286	90.2654867256637	71.40953015661447	23.160203432930707	0.0	0.0	0.7425149700598802	0.0	7.0	5.0	4.0	0.453125	1.0	niche_H		
blaA	3599	1820	356	4182	90.99873577749683	69.67677440853049	23.22974749969132	0.0	0.0	0.6906187624750499	0.0	7.0	6.0	4.0	0.125	1.0	niche_H		
blaYRC	3	213	3952	5789	99.92414664981035	3.5488170609796734	0.0206313793693334	7.01373644972798e-43	8.837307926657255e-40	0.5349301397205589	4.727342363960369e-40	3.0	1.0	3.0	0.25	1.0	niche_H		
